k,t,Bus_IMU.imu_gyro.1,Bus_IMU.imu_gyro.2,Bus_IMU.imu_gyro.3,Bus_IMU.imu_acc.1,Bus_IMU.imu_acc.2,Bus_IMU.imu_acc.3,Bus_Cmd_flat.mocap_pos.1,Bus_Cmd_flat.mocap_pos.2,Bus_Cmd_flat.mocap_pos.3,Bus_Cmd_flat.q_ext.1,Bus_Cmd_flat.q_ext.2,Bus_Cmd_flat.q_ext.3,Bus_Cmd_flat.q_ext.4,Bus_Cmd_flat.p_ref.1,Bus_Cmd_flat.p_ref.2,Bus_Cmd_flat.p_ref.3,Bus_Cmd_flat.v_ref.1,Bus_Cmd_flat.v_ref.2,Bus_Cmd_flat.v_ref.3,Bus_Cmd_flat.a_ref.1,Bus_Cmd_flat.a_ref.2,Bus_Cmd_flat.a_ref.3,Bus_Cmd_flat.j_ref.1,Bus_Cmd_flat.j_ref.2,Bus_Cmd_flat.j_ref.3,Bus_Cmd_flat.s_ref.1,Bus_Cmd_flat.s_ref.2,Bus_Cmd_flat.s_ref.3,Bus_Cmd_flat.yaw_ref.1,Bus_Cmd_flat.yaw_ref.2,Bus_Cmd_flat.yaw_ref.3,Bus_Cmd_flat.estop.1,Bus_Cmd_flat.ack.1,batt_count.1,btn_ack.1,rotor_cmd.1,rotor_cmd.2,rotor_cmd.3,rotor_cmd.4,led.1,throttle.1,throttle.2,throttle.3,throttle.4
0,0,-0.1728281316258391,0.17051102458820627,-0.17229373717384208,0.015801756040292117,-0.12023136954327719,0.03458091411725675,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,0,1249.4542401651925,1322.9031443478714,1250.9112218752421,1271.5258485043064,0,45.182844383531759,48.374402497840769,45.245576201809811,46.135667317697134
1,0.001,-0.16721269954056947,0.16581760780489641,-0.16873036094056834,0.041010634000063155,-0.10492050873798922,-0.053222627517255719,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,0,1249.5786172935411,1321.9583923559305,1252.0668317644836,1271.2487690841647,0,45.188198652898834,48.332972905314634,45.295348791004031,46.123672623803436
2,0.002,-0.15541066387863275,0.16050672649216788,-0.15757418620204419,0.16312699889765908,0.063016499641013815,-0.00082524008724151054,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,0,1251.3712490532664,1318.7726116459833,1253.3880634913041,1271.4935344325304,0,45.265387996476655,48.193341463904517,45.35227281538517,46.134268406594337
3,0.0030000000000000001,-0.15023859676705653,0.14880049429410994,-0.15119175158650069,-0.13900250279933343,0.068689782935063878,-0.30802045641864695,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,0,1252.1332320495903,1316.9093309556672,1254.5036179666988,1271.576847788795,0,45.298209125545867,48.111726495232091,45.400350410433568,46.137875155275772
4,0.0040000000000000001,-0.13423841816611323,0.13563092645452846,-0.13161583104535884,-0.034160976153898598,0.087738758733671637,-0.11949916317265061,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,0,1255.4805071331207,1312.1710546126112,1256.589226846826,1271.1188348945457,0,45.442463144302081,47.904354053024001,45.490271707482549,46.118048098988794
5,0.0050000000000000001,-0.11946177817974638,0.12289644994385091,-0.11892597813383231,-0.026365047247175939,0.16770067204371147,-0.29899600858493597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1162.5658225064408,1393.6073737874244,1162.8246241033412,1359.0192717561708,0,41.484080410544877,51.502867728270459,41.494973809168343,49.965556096588799
6,0.0060000000000000001,-0.10675998226863188,0.10801398794562295,-0.1045444827281313,-0.12355239076969399,0.16214944376427293,-0.42915417783923498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1164.8763549330265,1389.9840418341432,1164.8595607705299,1359.0138585908298,0,41.581360769402409,51.34120586356125,41.580653472394005,49.96531653367532
7,0.0070000000000000001,-0.089764532489500642,0.089368149204225908,-0.093185156036755729,-0.015754712696566069,-0.025092337359947092,-0.69698919622060285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1166.5213336342954,1386.1616786491406,1166.7923771457313,1359.859408856154,0,41.650655175777601,51.170820688741458,41.662075692811364,50.002740788208413
8,0.0080000000000000002,-0.077425842379392262,0.078224107827618891,-0.075508172961330458,-0.087731905437752417,0.094882059721004969,-0.66347978665588125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1169.3515031428744,1382.4449838711464,1169.1419873117518,1359.2102245611027,0,41.769945314264916,51.005300199570229,41.761111307501253,49.974007035370384
9,0.0090000000000000011,-0.064347260494228009,0.060934354920877884,-0.062043853051842734,-0.08419439914455526,-0.1041632577765943,-0.78816620369348145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1171.0059263394455,1378.8267082127886,1171.5134215412907,1359.4408641515333,0,41.839719260888863,50.844309004672354,41.861128503013305,49.984214915730803
10,0.01,-0.048201852132805173,0.050417687129850369,-0.052076234349708844,0.10783044440648504,-0.049608682527461354,-1.0291983340049795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1172.8779108740118,1375.7496572159537,1172.6051866508635,1360.0300794662217,0,41.918705060316647,50.707512545396845,41.907195435038744,50.010295665583321
11,0.010999999999999999,-0.044593678305342999,0.041760166903477697,-0.041300473756192863,-0.20850869384096252,0.032844341767871293,-1.1869260857059307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1174.1166344102298,1373.7076001869971,1174.4580498895325,1359.4579701663758,0,41.970992523510112,50.616786424743992,41.985406903896219,49.984972034399881
12,0.012,-0.032731210190591969,0.026210252234389442,-0.032664847552148241,-0.096373450484588397,-0.25220468518916617,-1.39074802769187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1175.0318392190773,1370.8737383837108,1176.0784700741931,1360.1629932972919,0,42.009634879035893,50.49095752807807,42.053837704221067,50.016179429917926
13,0.013000000000000001,-0.02357135826901724,0.025451708898795361,-0.020304150494208084,-0.04877173348507944,0.070641036677078231,-1.3760623997484323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1177.5255155052653,1368.7051557294865,1177.096005796124,1359.3506306624424,0,42.114971302554416,50.394728087005092,42.096823317133136,49.980221200847573
14,0.014,-0.017002963428052575,0.013127911847945178,-0.017033103830671359,-0.062744346186045408,-0.18167952817857574,-1.7199958414194256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1177.5093251598173,1367.0726547120596,1178.0759922142684,1360.2032771942661,0,42.114287178338039,50.322321117087739,42.138233454783943,50.017962736178255
15,0.014999999999999999,-0.0047230887113114128,0.0091459530570760228,-0.0084353965490304994,0.23176680311047096,-0.11069842673294721,-1.7765217693076014,0.0012207403790398877,0.0012207403790398877,0.00061037018951994385,0.99997702188282389,0.0027675412179512622,-0.0055350824359025243,0.0027675412179512622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1179.2585512340679,1364.6375130954711,1178.7955889906159,1360.558871937166,0,42.188217559315717,50.214368897372822,42.168647352688311,50.033705145222115
16,0.016,-0.0013936357551565803,0.001299242645809523,-0.0025929885775602401,0.17133547099140906,-0.26111178434442067,-1.9121812050778482,0.0012207403790398877,0.0012207403790398877,0.00061037018951994385,0.99997702188282389,0.0027675412179512622,-0.0055350824359025243,0.0027675412179512622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1179.5501060446093,1362.9592406248864,1180.1855685088469,1360.8366400657972,0,42.200543292659745,50.140007476072832,42.227411267880164,50.046003089326554
17,0.017000000000000001,0.005832797580465926,0.00072688600051240559,-0.0025680459808824219,0.32898862972289877,-0.12733952467430726,-2.2683841639206195,0.0012207403790398877,0.0012207403790398877,0.00061037018951994385,0.99997702188282389,0.0027675412179512622,-0.0055350824359025243,0.0027675412179512622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1179.9632364466147,1362.1508313712313,1179.8362359582645,1361.6477269651639,0,42.218010344375919,50.104199304933879,42.212640594718842,50.081918128799302
18,0.018000000000000002,0.0072741577995191764,-0.0051306539716831912,0.008556242464220154,0.26444735854329993,-0.26917841182511537,-2.0884900971082567,0.0012207403790398877,0.0012207403790398877,0.00061037018951994385,0.99997702188282389,0.0027675412179512622,-0.0055350824359025243,0.0027675412179512622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1180.9945306661043,1360.0882629826806,1181.9618927593156,1361.0326520498761,0,42.26162141969116,50.012871281012167,42.302539606885475,50.054681862509725
19,0.019,0.0066812118454301073,-0.0022294239959494699,0.0015291450930322859,0.14141133829842228,-0.050144787061132706,-2.6919195637422142,0.0012207403790398877,0.0012207403790398877,0.00061037018951994385,0.99997702188282389,0.0027675412179512622,-0.0055350824359025243,0.0027675412179512622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1180.1421903200016,1360.9663810138707,1180.922153833377,1361.8610419994845,0,42.225577054035135,50.051747549177492,42.258560386374903,50.09136495215737
20,0.02,0.0037909632132954174,-0.0039826729864423371,0.0092660792813968329,-0.056774379937848216,-0.068518360453061644,-2.6026844135533396,0.0012207403790398877,0.0012207403790398877,0.00061037018951994385,0.99997702188282389,0.0027675412179512622,-0.0055350824359025243,0.0027675412179512622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1180.8037157668523,1359.9567628266852,1182.4890438500911,1361.0069176632398,0,42.253551409892729,50.007050203844884,42.324841769972075,50.05354240341331
21,0.021000000000000001,0.0065096878245214929,-0.014908422555937523,0.0049139343208887132,0.020821443320969732,-0.52285090882787466,-3.0321449640206026,0.0012207403790398877,0.0012207403790398877,0.00061037018951994385,0.99997702188282389,0.0027675412179512622,-0.0055350824359025243,0.0027675412179512622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1179.4086498425138,1359.4134101196444,1182.7149203399424,1362.633679469687,0,42.194562991597941,49.982999796666178,42.334398856264329,50.125586005932774
22,0.021999999999999999,0.0097536271816193454,-0.0084221860369455281,0.0081001937207643704,0.14135734148940843,-0.21348565036206793,-3.1013527570556341,0.0012207403790398877,0.0012207403790398877,0.00061037018951994385,0.99997702188282389,0.0027675412179512622,-0.0055350824359025243,0.0027675412179512622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1180.5759775948513,1359.0665318333918,1182.5184353939082,1362.2140701763867,0,42.243920353581231,49.967647633673039,42.32608532715583,50.107000183324757
23,0.023,0.0088176706746067035,-0.0055423411313384463,0.0048944466138675091,0.089406550206349036,-0.081657803410587981,-3.4399816064338595,0.0012207403790398877,0.0012207403790398877,0.00061037018951994385,0.99997702188282389,0.0027675412179512622,-0.0055350824359025243,0.0027675412179512622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1180.2525357931252,1359.5370543750619,1182.0264831705945,1362.5298354028553,0,42.230242969475448,49.988472373229762,42.305272066540176,50.120986243095444
24,0.024,0.0089904436004470401,-0.0098993178057524001,0.0039862652455869008,0.099337324793539905,-0.2871654532590045,-3.6602156128791354,0.0012207403790398877,0.0012207403790398877,0.00061037018951994385,0.99997702188282389,0.0027675412179512622,-0.0055350824359025243,0.0027675412179512622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1179.7200360749243,1359.1759444632919,1182.3715435522288,1363.1329632590957,0,42.207727664758799,49.972489882165242,42.31987042363361,50.147703392389388
25,0.025000000000000001,0.0067930527124829831,-0.0063887864180376119,0.0065993476891480773,0.011709806952389545,-0.14781769125870375,-3.7095691050401727,0.00061037018951994385,0,0.00061037018951994385,0.99997223470861951,0,0.0027675412179512622,0.0069188530448781559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1180.3288678885399,1359.3428751482977,1182.6131268962035,1362.3139431011421,0,42.233470720991065,49.979877947642343,42.330091792480168,50.111423695021486
26,0.026000000000000002,0.003546259317661421,-0.004559067815510992,0.0078220291733538116,-0.11667238392262225,-0.09037431847057853,-3.8110625135981371,0.00061037018951994385,0,0.00061037018951994385,0.99997223470861951,0,0.0027675412179512622,0.0069188530448781559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1180.5438205910255,1359.6461316794698,1182.8578658473321,1361.6998310846552,0,42.242560478675202,49.993300346800567,42.34044733071913,50.084225554245457
27,0.027,0.0070529522060926997,-0.0057467598041859302,0.0055532603970818162,0.062873048905693868,-0.17275651984333137,-4.0609750233335475,0.00061037018951994385,0,0.00061037018951994385,0.99997223470861951,0,0.0027675412179512622,0.0069188530448781559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1180.5430707840208,1359.66652632768,1182.3359298350263,1362.223671717938,0,42.242528770517232,49.994203068135789,42.318363664972452,50.107425444269062
28,0.028000000000000001,0.0041689665985410185,-0.011633385265066798,0.0086431638617032458,-0.04249310371536455,-0.46877474038377404,-4.0628222327745043,0.00061037018951994385,0,0.00061037018951994385,0.99997223470861951,0,0.0027675412179512622,0.0069188530448781559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1180.3527759172728,1359.2079603539776,1183.4947415145425,1361.9330800678251,0,42.234481700497525,49.973906826706724,42.367398282384755,50.094555327720855
29,0.029000000000000001,0.0072121500794459781,-0.009758497584643977,0.0085644802842611278,0.11965347193238908,-0.41668212853307096,-4.2011998196132181,0.00061037018951994385,0,0.00061037018951994385,0.99997223470861951,0,0.0027675412179512622,0.0069188530448781559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1180.8267826993861,1359.226194590995,1183.1119684946411,1361.9325603480379,0,42.254526943266562,49.974713834218534,42.35119976974557,50.094532310500874
30,0.029999999999999999,0.010209664364546539,-0.0062270352999797274,0.0085172714826389495,0.27959336844002303,-0.28984954167258831,-4.3331024943829055,0.00061037018951994385,0,0.00061037018951994385,0.99997223470861951,0,0.0027675412179512622,0.0069188530448781559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1181.4327319394565,1359.3486538298409,1182.5969548760238,1361.804980844387,0,42.28015549875952,49.980133707665019,42.329407535718282,50.08888219141285
31,0.031,0.0067985090273533222,-0.010510327366571343,0.0080187379647817525,0.15033728655584722,-0.51329480750761491,-4.4808886782723247,0.00061037018951994385,0,0.00061037018951994385,0.99997223470861951,0,0.0027675412179512622,0.0069188530448781559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1180.8047558641122,1359.4516632579241,1183.1930097197474,1361.830389169512,0,42.253595396958417,49.984692887877571,42.354629206141432,50.09000743671799
32,0.032000000000000001,0.005708046305914205,-0.0020078528046916511,0.010129063185135068,0.12377291152599423,-0.16007012830483447,-4.5074000107595742,0.00061037018951994385,0,0.00061037018951994385,0.99997223470861951,0,0.0027675412179512622,0.0069188530448781559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1181.8249865837033,1359.9306141205955,1182.8934742614729,1360.8309140912031,0,42.296748023054555,50.005892709792363,42.341954069867789,50.045749568159771
33,0.033000000000000002,0.010678575802893664,-0.0054302070806182545,0.0074010988496326646,0.36765314174441377,-0.3408754202871887,-4.7477778562975681,0.00061037018951994385,0,0.00061037018951994385,0.99997223470861951,0,0.0027675412179512622,0.0069188530448781559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1181.6466029551607,1359.7255547413911,1182.416435725396,1361.711456777351,0,42.289202115803455,49.996815848451313,42.321769758648195,50.084740400905766
34,0.034000000000000002,0.0092310162607819601,-0.0077819202328572312,0.0088794032274728818,0.3205826294083422,-0.47109589469759178,-4.7954637739574517,0.00061037018951994385,0,0.00061037018951994385,0.99997223470861951,0,0.0027675412179512622,0.0069188530448781559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1181.6050630190562,1359.5590524188497,1182.9801789250812,1361.5328671309394,0,42.287444961705681,49.989446038861345,42.345622960925155,50.076831678822693
35,0.035000000000000003,0.0035548350646793514,-0.0073793695075479449,0.0094150885927208328,0.080885310701842905,-0.47489701095419234,-4.8820091692476915,0,-0.00061037018951994385,-0.0024414807580797754,0.99998276646161821,-0.0013837706089756311,-0.0013837706089756311,-0.0055350824359025243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1181.1284047140898,1360.0124175322283,1183.6064524903936,1361.0604163088058,0,42.267283506844187,50.009513830401808,42.372126066445517,50.05591120784058
36,0.036000000000000004,0.0086967339847125458,-0.0079234898192385439,0.006856557032418914,0.32512918944505986,-0.5186724475041864,-5.1041079550045456,0,-0.00061037018951994385,-0.0024414807580797754,0.99998276646161821,-0.0013837706089756311,-0.0013837706089756311,-0.0055350824359025243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1181.0076489996341,1359.9829075016366,1183.0059514521811,1361.8299707390402,0,42.262176239539436,50.008207526990503,42.346713536396472,50.089988905847264
37,0.036999999999999998,0.0045596034983840517,-0.0045360517041958537,0.0095569540173795486,0.14969834969020826,-0.38313139477413749,-5.086041901323739,0,-0.00061037018951994385,-0.0024414807580797754,0.99998276646161821,-0.0013837706089756311,-0.0013837706089756311,-0.0055350824359025243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1181.2200087572021,1360.2546816673453,1183.5591247700656,1361.0090190775836,0,42.271157934505752,50.020238359241404,42.370123066148878,50.053635448904537
38,0.037999999999999999,0.0067334433156766849,-0.0054828284589717169,0.01011002600808325,0.2557345076785002,-0.44007547265996744,-5.1606872401767259,0,-0.00061037018951994385,-0.0024414807580797754,0.99998276646161821,-0.0013837706089756311,-0.0013837706089756311,-0.0055350824359025243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1181.2834611336441,1360.0304710269002,1183.6507536634886,1361.2160921388077,0,42.273841730996828,50.010312998713559,42.374000999804089,50.062804376674499
39,0.039,0.001436698942869935,-0.0026955768660056056,0.0087585103756976646,0.023708306468119583,-0.32687949837854402,-5.3169566117865354,0,-0.00061037018951994385,-0.0024414807580797754,0.99998276646161821,-0.0013837706089756311,-0.0013837706089756311,-0.0055350824359025243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1180.81297838876,1360.8415974259519,1183.7601173507951,1360.8383169847391,0,42.253943138638292,50.046222579892095,42.378629629572757,50.046077336047631
40,0.040000000000000001,0.0057958606107998412,-0.0054883868788548618,0.0094984598441243961,0.22391939510684272,-0.46255583214462936,-5.3749852265411819,0,-0.00061037018951994385,-0.0024414807580797754,0.99998276646161821,-0.0013837706089756311,-0.0013837706089756311,-0.0055350824359025243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1180.9102747427928,1362.2710673021397,1183.8853197185763,1359.2996384155883,0,42.258057989524374,50.109524652373473,42.383928766074668,49.977964334621369
41,0.041000000000000002,0.0085300023508423917,-0.0087241554837646784,0.015046823410204885,0.34931947483987702,-0.61632270906627951,-5.2124288917457351,0,-0.00061037018951994385,-0.0024414807580797754,0.99998276646161821,-0.0013837706089756311,-0.0013837706089756311,-0.0055350824359025243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1181.5135043355485,1361.2469726616991,1184.8316244128334,1359.1008187912537,0,42.283572063931793,50.064171766850528,42.423986294415968,49.969165049139292
42,0.042000000000000003,0.0024907298196845673,-0.0046489535395010662,0.021160060657062163,0.07868223597164023,-0.43973285224714681,-5.0199407674101435,0,-0.00061037018951994385,-0.0024414807580797754,0.99998276646161821,-0.0013837706089756311,-0.0013837706089756311,-0.0055350824359025243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1182.1243287029486,1361.2960956384582,1185.9585575546921,1357.6621326917839,0,42.309411452276542,50.06634695491033,42.471702787187006,49.905505194708994
43,0.043000000000000003,0.0070664588951855067,-0.004375476558894309,0.012714272538966814,0.28401873435715447,-0.43268377924726742,-5.4774377282667865,0,-0.00061037018951994385,-0.0024414807580797754,0.99998276646161821,-0.0013837706089756311,-0.0013837706089756311,-0.0055350824359025243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1181.2513597658474,1362.0682878935061,1184.4954873697579,1359.0507281511759,0,42.272483958522116,50.100543479232336,42.409756322978737,49.96694822480945
44,0.043999999999999997,0.0077771570057234285,-0.0069011273010315122,0.013937459487262688,0.31440557070106584,-0.55028800887416662,-5.4953749020476401,0,-0.00061037018951994385,-0.0024414807580797754,0.99998276646161821,-0.0013837706089756311,-0.0013837706089756311,-0.0055350824359025243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1181.1683895816238,1361.757479749838,1184.9298132424617,1359.1834443271007,0,42.26897467056979,50.086778554183368,42.428143239541107,49.972821806669472
45,0.044999999999999998,0.012290405053123371,-0.0067097315452550321,0.01451811956927454,0.5147853223179959,-0.54468659163964028,-5.5373296330324706,0.00061037018951994385,0,-0.0036622211371196631,0.99998085160568684,-0.0027675412179512622,0,0.0055350824359025243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1181.5731290318201,1361.4406309120277,1184.8107421561979,1359.3817820363863,0,42.286094155598477,50.072747197723459,42.423102232046126,49.981599943837011
46,0.045999999999999999,0.006922080217574178,-0.0080337304935587939,0.013526800681391365,0.26998774548866261,-0.60635778972086829,-5.6450389579168032,0.00061037018951994385,0,-0.0036622211371196631,0.99998085160568684,-0.0027675412179512622,0,0.0055350824359025243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1180.8401650528795,1361.9396361330867,1185.3892204572805,1359.1445310332288,0,42.255092904711276,50.09484568135543,42.447594221977134,49.97109961202959
47,0.047,0.0056272473599248696,-0.0095424793172736999,0.01270061695134167,0.20764119759544605,-0.67561503488374086,-5.7403668545757736,0.00061037018951994385,0,-0.0036622211371196631,0.99998085160568684,-0.0027675412179512622,0,0.0055350824359025243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1180.4503150209712,1362.1249403280324,1185.6668846165335,1359.1864315048254,0,42.2386063231016,50.103052590365614,42.459351457553879,49.972954011574188
48,0.048000000000000001,0.0085369285713791376,-0.0047214393466160909,0.023643535476836564,0.33374754233962195,-0.45965759785548443,-5.3015377931698477,0.00061037018951994385,0,-0.0036622211371196631,0.99998085160568684,-0.0027675412179512622,0,0.0055350824359025243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1182.5834913594736,1360.9908968752436,1186.7289930933869,1357.6725289324002,0,42.328837881057026,50.052833043676181,42.504332549528407,49.905965132030275
49,0.049000000000000002,0.0087381480437170589,-0.0059415461802407588,0.022868589150115554,0.33755110436149183,-0.51486759076053445,-5.3846951152342113,0.00061037018951994385,0,-0.0036622211371196631,0.99998085160568684,-0.0027675412179512622,0,0.0055350824359025243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1182.3541734195251,1361.0590226659235,1186.8609555363794,1357.8219298885367,0,42.319135519721591,50.055849499944898,42.509922126538711,49.912574871642278
50,0.050000000000000003,0.0060018820072553214,-0.010044670203579159,0.018750615645560381,0.20882710956328401,-0.69933524269781167,-5.613320254261482,0.00061037018951994385,0,-0.0036622211371196631,0.99998085160568684,-0.0027675412179512622,0,0.0055350824359025243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1181.7631898830168,1361.2294797017153,1186.487291336151,1358.7527657360865,0,42.294133885992082,50.063397176939226,42.494095205690563,49.953762094602119
51,0.051000000000000004,0.014853331498894007,-0.0044965673781388327,0.024052258883801803,0.60076958794965662,-0.44953141625131771,-5.4136187577200232,0.00061037018951994385,0,-0.0036622211371196631,0.99998085160568684,-0.0027675412179512622,0,0.0055350824359025243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1183.6431409186721,1360.3749093907179,1186.23155250577,1358.3304325038696,0,42.373678808394693,50.025560830411131,42.483264018890686,49.935073692406071
52,0.052000000000000005,0.010133637670010021,-0.0067950459994814971,0.025798276811312248,0.38213742369579073,-0.5523263413175119,-5.369141710307102,0.00061037018951994385,0,-0.0036622211371196631,0.99998085160568684,-0.0027675412179512622,0,0.0055350824359025243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1183.2700809787264,1360.411813005566,1187.2010744076688,1357.906915214536,0,42.35789071191045,50.027194582284295,42.524329539381,49.916334869511388
53,0.052999999999999999,0.010710812138614134,-0.0045767475965533544,0.027912446128318585,0.40138102458679692,-0.45184872369206802,-5.3035838217956384,0.00061037018951994385,0,-0.0036622211371196631,0.99998085160568684,-0.0027675412179512622,0,0.0055350824359025243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1183.7697739983473,1360.3232982671725,1187.4243036774342,1357.5008125259085,0,42.379038336888257,50.023275990809324,42.533786209508641,49.89836842474098
54,0.053999999999999999,0.010094916878678112,-0.01066819378631037,0.026005168502634846,0.36670513922917097,-0.72489679307887467,-5.4144744819813759,0.00061037018951994385,0,-0.0036622211371196631,0.99998085160568684,-0.0027675412179512622,0,0.0055350824359025243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1182.893897482905,1360.2659709121315,1187.8521525240396,1358.0837436515872,0,42.341971978199524,50.020738126377793,42.551912721827335,49.924158528739817
55,0.055,0.0083392289183661095,-0.0058221794594587595,0.033073993091953607,0.28052770039488628,-0.5060402752356008,-5.1175325736692479,-0.00061037018951994385,-0.0012207403790398877,-0.0067140720847193823,0.99997414958105146,0.0069188530448781567,0.0013837706089756313,0.0013837706089756313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0471510971404157,0,0,0,0,944,0,1184.3958259415142,1359.756460571914,1188.434654988625,1356.911555420224,0,42.405537511490159,49.998183851498588,42.576594629711117,49.872302252682964
